Austria,Belgium,Finland,France,Germany,Ireland,Italy,Luxembourg,Monaco,Norway,Portugal,Spain,Sweden,Switzerland,The Netherlands,United Kingdom,Yugoslavia
0,0,0,1,0,3,0,0,2,0,0,1,0,0,0,3,0
0,0,0,0,1,3,0,1,0,0,0,1,0,0,0,3,1
0,3,0,0,0,2,0,2,0,0,0,0,1,0,0,2,0
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7,1
0,1,0,2,0,4,0,0,0,0,0,0,0,0,0,3,0
0,1,0,1,1,0,1,2,0,0,0,0,2,0,1,1,0
0,0,1,0,1,1,0,3,1,0,0,0,0,0,0,2,1
0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,5,1
0,0,0,2,0,2,0,1,0,0,0,2,0,0,0,3,0
0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,7,0
1,1,1,0,1,1,0,0,0,0,0,2,1,0,0,1,1
0,0,0,0,0,0,1,1,5,0,1,0,0,0,0,0,2
0,0,0,4,1,2,0,0,1,1,0,0,0,0,0,1,0
0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,7,0
0,0,1,1,0,0,0,4,0,1,0,1,0,0,0,2,0
0,1,0,2,1,2,1,2,0,0,0,0,0,0,1,0,0
1,1,0,4,0,1,0,1,0,0,0,1,1,0,0,0,0
