Austria,Belgium,Denmark,Finland,France,Germany,Italy,Luxembourg,Monaco,Norway,Spain,Sweden,Switzerland,The Netherlands,United Kingdom,Yugoslavia
0,4,3,0,2,0,0,0,1,0,0,0,5,0,0,0
2,0,5,0,1,0,3,0,0,0,0,0,4,0,0,0
1,0,0,0,0,0,5,2,0,0,0,0,4,0,0,0
4,0,5,0,0,0,2,1,0,0,0,0,0,0,3,0
2,0,0,0,0,0,0,4,5,0,0,0,0,0,3,1
0,0,2,0,1,0,0,3,5,0,0,0,4,0,0,0
0,0,2,0,4,0,0,1,3,0,0,0,5,0,0,0
0,0,5,0,1,0,4,0,0,0,0,0,3,0,0,0
0,0,0,0,2,3,5,0,0,0,0,0,4,0,1,0
0,0,4,0,0,2,3,0,0,0,0,0,1,0,5,0
0,0,0,0,1,0,3,0,0,0,0,0,4,0,5,2
3,0,5,0,0,0,0,4,0,0,0,0,1,0,2,0
0,0,3,0,4,0,5,2,1,0,0,0,0,0,0,0
0,0,5,0,4,0,1,0,2,0,0,0,0,0,3,0
4,0,3,0,0,0,2,0,1,0,0,0,5,0,0,0
0,0,0,0,5,0,4,0,1,0,2,0,0,0,3,0
