Austria,Belgium,Finland,France,Germany,Ireland,Italy,Luxembourg,Malta,Monaco,Norway,Portugal,Spain,Sweden,Switzerland,The Netherlands,United Kingdom,Yugoslavia
0,2,3,2,5,4,6,8,2,3,3,4,5,4,8,6,7,3
4,0,8,7,7,4,6,8,2,4,4,7,3,7,4,2,4,8
4,4,0,4,5,3,6,6,5,5,7,2,4,5,7,9,7,3
6,3,3,0,8,3,5,8,2,3,3,4,5,3,5,6,9,4
6,2,4,5,0,4,4,9,3,4,4,3,7,5,4,6,8,7
6,4,3,5,6,0,3,9,4,4,6,7,5,5,6,8,6,5
6,3,3,3,7,3,0,9,2,3,2,9,3,3,5,3,7,2
5,6,6,8,7,6,6,0,2,4,6,10,5,5,7,7,8,8
5,5,3,5,4,6,6,4,0,5,5,5,4,4,4,3,2,4
5,4,5,6,8,5,6,7,3,0,4,4,8,5,6,5,9,9
5,2,6,7,6,6,6,8,2,6,0,2,8,5,7,8,10,4
5,3,4,2,6,4,7,7,2,2,5,0,6,4,2,5,4,5
6,2,6,2,9,4,2,2,2,3,5,7,0,3,5,8,2,8
10,2,4,2,8,5,8,8,3,3,4,7,7,0,4,6,6,4
7,3,3,3,5,3,9,6,2,2,2,6,3,2,0,6,8,2
9,3,8,6,6,5,5,9,4,5,4,5,5,5,5,0,8,6
3,5,5,9,5,4,3,10,6,5,4,4,3,3,4,9,0,5
8,2,4,5,5,3,4,10,2,4,5,4,2,7,5,9,9,0
