Austria,Belgium,Denmark,Finland,France,Germany,Italy,Luxembourg,Monaco,Norway,Spain,Sweden,Switzerland,The Netherlands,United Kingdom,Yugoslavia
0,0,0,0,2,0,0,1,3,0,0,0,0,0,0,0
0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0,0,0,0,3,0,0,2,0
0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,1
0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3
0,0,0,0,3,0,0,0,1,0,0,0,2,0,0,0
0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,1,0,2,0,3,0,0,0,0,0,0,0
0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0
0,0,0,1,3,0,0,0,2,0,0,0,0,0,0,0
0,0,0,0,2,0,0,3,0,0,0,0,0,0,1,0
0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,3,0,0,1,0,0,0,0,0,0,2,0
0,0,0,0,0,2,0,0,3,0,0,1,0,0,0,0
0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3,0,1,0,0,0,0,0,0,0,2,0
