Austria,Belgium,Denmark,Finland,France,Germany,Ireland,Italy,Luxembourg,Monaco,Norway,Portugal,Spain,Sweden,Switzerland,The Netherlands,United Kingdom,Yugoslavia
0,0,0,0,0,0,0,0,5,0,1,0,0,0,3,0,0,0
0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0
0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,5,0
0,0,0,0,1,0,0,0,5,0,0,0,0,3,0,0,5,0
0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,1
0,0,0,0,3,0,0,1,5,0,0,0,0,0,0,0,0,0
5,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0
0,0,5,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,5,0,0,3,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,1,0
5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,5,0
0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0
0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,5,0
0,0,0,0,1,0,0,3,5,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
