Belgium,Finland,France,Germany,Ireland,Israel,Italy,Luxembourg,Monaco,Norway,Portugal,Spain,Sweden,Switzerland,The Netherlands,United Kingdom,Yugoslavia
0,9,3,5,7,6,5,6,3,5,6,8,4,3,4,6,3
4,0,4,2,3,6,2,6,6,8,4,3,8,4,4,9,5
2,4,0,7,4,5,5,10,5,6,6,9,4,2,6,8,4
4,6,4,0,4,7,5,7,4,6,5,9,5,4,5,7,4
4,5,5,6,0,7,4,8,6,3,4,10,5,7,5,9,5
2,5,2,4,4,0,4,8,4,9,5,8,5,3,2,9,4
2,2,2,3,5,7,0,9,8,5,3,10,5,4,4,5,2
4,6,3,7,6,8,5,0,6,7,4,8,6,6,7,10,4
6,5,5,5,6,7,5,7,0,7,4,9,5,5,4,8,5
3,6,4,4,6,5,5,8,3,0,5,4,8,7,5,7,2
3,5,2,6,2,5,3,8,2,5,0,9,4,3,2,6,3
6,6,5,9,7,4,5,6,6,6,8,0,7,7,5,4,8
2,7,5,6,5,6,5,8,4,3,2,7,0,3,3,9,2
4,6,4,7,5,6,7,10,5,7,8,8,9,0,5,8,6
3,5,5,5,6,6,4,9,5,3,5,10,6,8,0,10,4
5,9,5,5,5,5,5,10,9,3,5,4,7,7,3,0,4
4,7,7,4,5,7,5,9,9,6,6,9,6,6,5,8,0
