From country,Austria,Belgium,Finland,France,Germany,Greece,Ireland,Israel,Italy,Luxembourg,Monaco,Norway,Portugal,Spain,Sweden,Switzerland,The Netherlands,United Kingdom
Austria,0,0,6,7,2,4,5,3,0,0,8,0,0,1,0,10,0,12
Belgium,0,0,0,4,0,6,3,1,0,0,2,5,0,7,0,8,10,12
Finland,1,3,0,12,0,6,0,0,2,8,5,0,0,7,0,10,0,4
France,0,0,4,0,1,3,10,2,7,0,5,0,6,0,0,0,8,12
Germany,0,8,0,12,0,4,5,0,3,0,6,0,1,7,2,0,0,10
Greece,3,5,2,7,8,0,10,0,0,0,12,0,0,4,0,6,1,0
Ireland,0,4,12,10,1,0,0,7,8,2,5,0,0,0,0,6,3,0
Israel,0,6,7,10,5,3,12,0,0,0,2,0,0,0,0,4,1,8
Italy,0,0,0,10,6,1,8,0,0,0,12,5,3,7,0,4,0,2
Luxembourg,0,4,0,10,2,6,8,0,0,0,1,3,0,7,0,5,0,12
Monaco,5,0,0,4,1,10,8,7,6,0,0,0,2,0,0,0,3,12
Norway,2,6,8,3,0,4,12,5,0,0,1,0,0,0,0,10,0,7
Portugal,0,7,0,5,8,10,1,0,3,0,6,2,0,0,0,4,0,12
Spain,0,0,0,10,5,12,4,6,2,7,8,0,0,0,0,0,1,3
Sweden,0,4,2,6,5,7,12,3,0,0,10,1,0,0,0,0,0,8
Switzerland,0,0,5,12,0,1,8,10,2,0,6,0,4,3,0,0,7,0
The Netherlands,0,12,4,8,3,10,1,5,0,0,0,0,2,6,0,0,0,7
United Kingdom,0,10,0,6,8,5,12,0,0,0,7,2,0,3,0,4,1,0
