From country,Austria,Belgium,Denmark,Finland,France,Germany,Italy,Luxembourg,Monaco,Norway,Spain,Sweden,Switzerland,The Netherlands,United Kingdom,Yugoslavia
Austria,0,0,0,0,0,1,0,4,0,0,0,0,2,0,0,3
Belgium,0,0,0,0,0,0,4,0,0,5,0,0,0,0,1,0
Denmark,0,0,0,1,0,1,4,1,0,1,0,0,0,0,1,1
Finland,0,0,1,0,1,0,0,3,3,2,0,0,0,0,0,0
France,0,0,0,1,0,0,1,1,0,0,2,2,0,1,0,2
Germany,0,0,0,0,4,0,0,5,0,0,0,0,0,1,0,0
Italy,0,0,0,2,0,0,0,3,0,0,0,0,2,2,1,0
Luxembourg,0,1,0,0,1,0,0,0,0,0,0,0,0,0,8,0
Monaco,0,0,0,0,2,0,1,4,0,0,1,0,2,0,0,0
Norway,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0
Spain,0,0,0,0,2,0,0,2,1,1,0,0,1,0,3,0
Sweden,0,0,2,0,1,1,0,1,0,0,1,0,4,0,0,0
Switzerland,0,0,0,0,0,0,0,1,1,0,0,0,0,0,7,1
The Netherlands,0,0,1,0,0,0,1,1,0,0,1,0,2,0,3,1
United Kingdom,1,0,0,2,2,0,0,0,1,0,1,0,2,0,0,1
Yugoslavia,0,0,0,0,0,0,1,5,0,1,0,0,1,2,0,0
