From country,Austria,Belgium,Finland,France,Germany,Ireland,Italy,Luxembourg,Malta,Monaco,Norway,Portugal,Spain,Sweden,Switzerland,The Netherlands,United Kingdom,Yugoslavia
Austria,0,3,4,3,6,7,4,2,4,4,3,4,4,7,5,6,4,6
Belgium,3,0,10,3,7,3,2,3,4,10,6,4,4,6,3,2,8,2
Finland,3,6,0,3,5,4,2,5,3,7,3,5,9,4,4,6,6,3
France,3,5,4,0,8,7,9,5,3,8,5,8,10,5,6,7,8,6
Germany,7,2,4,5,0,4,6,5,4,9,7,3,9,3,5,5,7,5
Ireland,6,4,6,6,5,0,6,5,4,9,7,3,9,3,5,5,7,5
Italy,6,3,2,4,6,6,0,3,4,4,2,4,5,6,7,2,3,5
Luxembourg,2,2,2,2,2,2,2,0,2,4,2,5,4,2,2,2,4,2
Malta,3,2,4,2,5,6,6,7,0,5,3,3,8,4,5,2,8,2
Monaco,5,5,4,8,7,6,9,6,2,0,6,6,10,4,4,6,8,4
Norway,5,4,6,5,4,4,5,4,2,10,0,5,8,6,4,8,6,5
Portugal,5,6,8,5,7,4,3,6,2,8,5,0,7,3,6,9,7,4
Spain,2,2,3,5,8,5,6,4,5,2,2,10,0,2,2,5,2,6
Sweden,4,5,4,4,6,2,7,2,2,10,2,2,6,0,4,6,5,2
Switzerland,2,4,4,8,6,3,8,3,2,10,4,2,5,9,0,5,6,2
The Netherlands,3,6,3,9,5,5,2,3,5,9,2,5,6,9,5,0,5,4
United Kingdom,3,6,10,5,6,6,6,6,3,8,7,6,7,5,6,5,0,3
Yugoslavia,4,3,6,5,7,5,8,4,2,10,4,6,7,6,4,5,6,0
