From country,Austria,Belgium,Cyprus,Denmark,Finland,France,Germany,Greece,Iceland,Ireland,Israel,Italy,Luxembourg,Norway,Portugal,Spain,Sweden,Switzerland,The Netherlands,Turkey,United Kingdom,Yugoslavia
Austria,0,4,0,6,0,2,3,0,10,12,0,7,5,0,0,8,0,0,0,0,1,0
Belgium,2,0,5,3,0,4,6,0,10,7,0,8,0,0,0,1,0,0,0,0,12,0
Cyprus,0,0,0,4,0,7,0,6,0,0,0,12,5,0,0,8,0,1,2,0,3,10
Denmark,0,0,2,0,0,5,4,0,10,8,0,6,0,1,0,0,0,12,0,0,3,7
Finland,2,0,6,0,0,12,0,0,7,4,5,8,0,0,0,10,0,3,0,0,0,1
France,3,8,0,0,0,0,0,0,0,7,0,4,12,0,0,5,0,1,6,0,10,2
Germany,0,8,0,0,0,10,0,0,0,7,4,6,3,0,0,12,2,0,0,5,1,0
Greece,0,0,6,0,0,0,0,0,3,7,0,10,4,0,0,8,2,12,1,0,5,0
Iceland,6,0,0,7,5,12,1,0,0,8,0,3,0,0,0,4,0,0,0,2,0,10
Ireland,2,1,0,4,0,8,10,0,7,0,0,12,0,3,0,0,0,0,0,0,6,5
Israel,0,0,5,7,3,6,0,0,8,0,0,1,0,4,0,0,0,0,2,0,10,12
Italy,12,0,4,7,0,0,5,0,3,0,0,0,1,0,0,8,0,0,2,0,6,10
Luxembourg,5,4,0,0,0,0,12,0,8,6,0,10,0,0,7,0,0,2,1,0,3,0
Norway,0,1,2,7,0,12,0,0,10,8,0,0,0,0,0,5,6,0,0,4,0,3
Portugal,0,2,0,7,0,4,0,0,12,6,0,10,3,0,0,5,0,8,1,0,0,0
Spain,0,0,0,6,0,5,8,0,4,10,0,12,0,0,0,0,2,1,0,0,7,3
Sweden,2,7,6,3,0,5,4,0,8,12,0,10,0,0,0,0,0,0,0,0,0,1
Switzerland,0,4,0,1,0,12,0,0,7,5,2,8,0,0,0,6,0,0,3,0,10,0
The Netherlands,1,7,0,0,0,12,0,5,0,10,4,8,0,0,0,2,6,0,0,3,0,0
Turkey,7,0,0,2,0,4,0,0,1,5,0,8,0,0,0,10,0,6,3,0,0,12
United Kingdom,8,0,0,0,0,0,7,0,12,10,0,0,3,0,2,1,6,0,4,0,0,5
Yugoslavia,8,0,0,0,0,12,0,0,4,0,1,6,2,0,0,3,0,5,0,7,10,0
