From country,Austria,Belgium,Finland,France,Germany,Ireland,Italy,Luxembourg,Monaco,Norway,Portugal,Spain,Sweden,Switzerland,The Netherlands,United Kingdom,Yugoslavia
Austria,0,0,0,1,0,3,0,0,2,0,0,1,0,0,0,3,0
Belgium,0,0,0,0,1,3,0,1,0,0,0,1,0,0,0,3,1
Finland,0,3,0,0,0,2,0,2,0,0,0,0,1,0,0,2,0
France,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7,1
Germany,0,1,0,2,0,4,0,0,0,0,0,0,0,0,0,3,0
Ireland,0,1,0,1,1,0,1,2,0,0,0,0,2,0,1,1,0
Italy,0,0,1,0,1,1,0,3,1,0,0,0,0,0,0,2,1
Luxembourg,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,5,1
Monaco,0,0,0,2,0,2,0,1,0,0,0,2,0,0,0,3,0
Norway,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,7,0
Portugal,1,1,1,0,1,1,0,0,0,0,0,2,1,0,0,1,1
Spain,0,0,0,0,0,0,1,1,5,0,1,0,0,0,0,0,2
Sweden,0,0,0,4,1,2,0,0,1,1,0,0,0,0,0,1,0
Switzerland,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,7,0
The Netherlands,0,0,1,1,0,0,0,4,0,1,0,1,0,0,0,2,0
United Kingdom,0,1,0,2,1,2,1,2,0,0,0,0,0,0,1,0,0
Yugoslavia,1,1,0,4,0,1,0,1,0,0,0,1,1,0,0,0,0
