From country,Austria,Belgium,Cyprus,Denmark,Finland,France,Germany,Greece,Iceland,Ireland,Israel,Italy,Luxembourg,Norway,Portugal,Spain,Sweden,Switzerland,The Netherlands,Turkey,United Kingdom,Yugoslavia
Austria,0,0,2,7,3,5,0,0,0,0,0,0,0,0,6,0,12,1,4,0,8,10
Belgium,12,0,0,4,0,0,5,1,0,3,0,0,0,8,2,7,6,0,0,0,0,10
Cyprus,10,0,0,0,3,7,1,12,0,0,0,6,0,0,0,4,8,0,0,0,2,5
Denmark,4,0,8,0,0,3,7,0,0,0,5,0,0,6,0,0,12,2,0,0,1,10
Finland,1,0,0,12,0,3,0,0,0,0,5,10,0,0,2,8,0,0,4,0,6,7
France,0,0,0,6,10,0,0,1,0,0,0,0,5,4,0,8,2,0,7,0,12,3
Germany,5,0,0,0,0,2,0,0,0,4,3,7,0,0,0,10,8,0,6,0,12,1
Greece,12,0,7,0,0,5,3,0,0,0,0,4,0,0,6,10,8,0,1,0,2,0
Iceland,8,1,12,10,0,0,3,4,0,0,5,0,0,0,0,0,2,7,0,0,0,6
Ireland,0,5,1,10,8,6,2,0,0,0,7,0,0,0,0,0,0,0,3,0,4,12
Israel,8,0,3,1,10,5,0,0,0,0,0,0,0,2,0,0,6,4,0,0,7,12
Italy,12,0,2,5,0,3,7,0,0,0,1,0,0,0,0,8,0,4,10,0,6,0
Luxembourg,0,0,0,3,4,8,0,0,0,2,0,0,0,0,7,10,6,0,1,0,12,5
Norway,0,2,0,10,0,5,0,6,0,3,0,0,0,0,1,4,8,0,0,0,12,7
Portugal,0,0,6,2,1,0,5,10,0,0,0,7,0,0,0,0,8,3,0,0,12,4
Spain,2,0,0,0,7,0,0,4,0,0,0,12,3,0,8,0,5,0,6,1,10,0
Sweden,7,0,0,12,4,1,6,0,0,0,5,0,0,2,3,0,0,0,0,0,10,8
Switzerland,8,0,4,0,0,0,6,12,0,0,7,2,0,1,0,10,3,0,0,0,0,5
The Netherlands,0,5,0,12,6,4,0,1,0,0,3,0,0,2,0,0,0,10,0,0,7,8
Turkey,3,0,0,6,10,0,0,0,0,7,0,0,0,5,4,2,0,8,0,0,1,12
United Kingdom,0,0,6,10,0,0,1,5,0,0,2,0,0,0,0,7,4,8,3,0,0,12
Yugoslavia,5,0,0,1,10,3,0,0,0,2,7,8,0,0,0,0,12,0,0,4,6,0
