From country,Austria,Belgium,Denmark,Finland,France,Germany,Ireland,Italy,Luxembourg,Monaco,Norway,Portugal,Spain,Sweden,Switzerland,The Netherlands,United Kingdom,Yugoslavia
Austria,0,0,0,0,0,0,0,0,5,0,1,0,0,0,3,0,0,0
Belgium,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0
Denmark,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,5,0
Finland,0,0,0,0,1,0,0,0,5,0,0,0,0,3,0,0,5,0
France,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,1
Germany,0,0,0,0,3,0,0,1,5,0,0,0,0,0,0,0,0,0
Ireland,5,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0
Italy,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0
Luxembourg,0,0,5,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
Monaco,0,0,0,0,5,0,0,3,0,0,0,1,0,0,0,0,0,0
Norway,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,1,0
Portugal,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1
Spain,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,5,0
Sweden,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0
Switzerland,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,5,0
The Netherlands,0,0,0,0,1,0,0,3,5,0,0,0,0,0,0,0,0,0
United Kingdom,3,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0
Yugoslavia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
