From country,Belgium,Finland,France,Germany,Ireland,Italy,Luxembourg,Monaco,Norway,Portugal,Spain,Sweden,Switzerland,The Netherlands,United Kingdom,Yugoslavia
Belgium,0,0,0,1,0,0,1,1,0,1,3,0,1,1,0,1
Finland,0,0,0,0,3,1,0,0,0,0,0,3,2,0,1,0
France,0,0,0,1,0,0,0,0,0,1,2,0,0,6,0,0
Germany,0,1,1,0,1,0,1,0,0,0,3,0,2,0,1,0
Ireland,0,1,4,0,0,1,0,0,0,0,1,0,3,0,1,0
Italy,0,0,0,0,0,0,0,4,0,0,0,0,0,3,3,0
Luxembourg,0,1,1,0,0,0,0,0,0,0,2,0,0,2,4,0
Monaco,0,0,2,0,0,1,3,0,0,0,3,0,0,1,0,0
Norway,2,1,0,1,0,0,0,0,0,0,1,3,1,1,0,0
Portugal,0,0,2,0,0,1,0,0,0,0,2,1,0,0,1,3
Spain,2,1,0,2,0,0,0,2,0,2,0,0,0,0,0,1
Sweden,0,0,1,0,1,0,0,2,1,0,0,0,0,0,5,0
Switzerland,2,0,1,0,3,0,0,0,0,0,0,0,0,4,0,0
The Netherlands,1,1,2,0,1,0,1,2,0,0,0,1,0,0,1,0
United Kingdom,3,0,4,0,1,0,0,0,0,0,0,0,2,0,0,0
Yugoslavia,0,0,0,3,0,1,1,0,0,0,1,0,2,0,2,0
