From country,Austria,Belgium,Denmark,Finland,France,Germany,Greece,Iceland,Ireland,Israel,Italy,Luxembourg,Norway,Portugal,Spain,Sweden,Switzerland,The Netherlands,Turkey,United Kingdom,Yugoslavia
Austria,0,0,12,0,7,0,0,0,6,2,5,1,3,0,8,0,0,0,0,10,4
Belgium,0,0,7,0,2,0,0,0,5,10,0,8,3,0,6,1,4,0,0,12,0
Denmark,0,0,0,0,3,6,0,4,7,0,0,2,5,0,1,8,0,0,0,10,12
Finland,0,0,4,0,3,0,0,0,2,6,8,12,7,0,0,0,5,0,0,10,1
France,0,5,12,0,0,0,7,2,4,10,8,0,0,0,0,0,1,0,6,0,3
Germany,0,0,4,0,3,0,0,0,7,5,2,0,1,0,0,0,12,6,8,10,0
Greece,0,0,0,0,5,0,0,0,0,3,0,2,7,1,8,0,10,12,0,6,4
Iceland,0,0,10,0,0,8,0,0,0,6,0,4,5,0,2,3,7,0,0,1,12
Ireland,0,0,4,0,0,6,0,0,0,1,0,12,8,0,0,5,10,2,0,7,3
Israel,0,0,6,3,0,5,0,0,0,0,0,0,1,0,2,0,4,7,8,10,12
Italy,0,0,0,0,0,0,0,1,0,3,0,2,4,0,8,10,7,5,0,12,6
Luxembourg,0,0,0,0,10,0,0,0,0,5,2,0,0,0,6,3,1,12,4,8,7
Norway,0,0,10,0,1,4,0,0,7,0,3,6,0,0,2,12,8,0,0,5,0
Portugal,0,0,6,0,1,2,0,8,5,10,0,4,7,0,0,0,12,0,0,3,0
Spain,0,0,1,0,2,3,0,0,12,6,7,0,0,4,0,0,8,0,5,10,0
Sweden,0,0,3,0,2,0,0,1,7,0,0,10,8,0,0,0,12,0,4,5,6
Switzerland,0,0,1,0,3,0,0,0,4,10,8,12,0,0,6,0,0,7,0,5,2
The Netherlands,0,0,12,0,2,0,0,4,6,3,0,5,7,0,0,8,10,0,1,0,0
Turkey,0,0,0,0,8,1,3,0,2,0,4,0,0,0,5,0,10,6,0,12,7
United Kingdom,0,0,0,0,0,5,0,0,3,4,0,7,12,0,0,2,10,6,1,0,8
Yugoslavia,0,0,0,0,12,8,0,0,2,1,5,3,10,0,4,0,6,7,0,0,0
