From country,Austria,Belgium,Cyprus,Denmark,Finland,France,Germany,Ireland,Italy,Luxembourg,Norway,Portugal,Spain,Sweden,Switzerland,The Netherlands,Turkey,United Kingdom,Yugoslavia
Austria,0,3,0,4,5,8,1,10,7,0,0,0,6,12,0,0,0,2,0
Belgium,0,0,0,8,0,10,6,12,0,0,1,0,3,7,5,0,4,2,0
Cyprus,0,0,0,5,4,3,0,10,0,7,0,0,6,12,1,0,0,2,8
Denmark,4,0,10,0,6,0,2,3,0,5,0,0,7,12,8,0,0,1,0
Finland,0,10,0,5,0,0,0,7,12,0,6,0,0,8,1,0,3,4,2
France,0,12,1,8,5,0,4,3,0,0,0,0,10,6,0,7,0,0,2
Germany,0,4,0,5,1,0,0,10,6,0,2,8,0,12,0,0,0,7,3
Ireland,1,0,4,10,0,0,0,0,0,5,3,0,7,12,0,6,2,8,0
Italy,0,1,0,5,0,7,2,12,0,3,0,0,8,6,4,0,0,10,0
Luxembourg,0,12,0,3,0,0,0,5,10,0,7,4,8,6,0,2,0,1,0
Norway,0,3,0,12,5,2,7,4,1,0,0,0,6,10,0,0,0,8,0
Portugal,0,10,0,1,3,7,5,2,8,0,0,0,12,4,0,0,0,6,0
Spain,0,2,0,6,1,0,0,10,12,7,0,5,0,4,0,8,0,3,0
Sweden,0,0,4,5,7,2,0,12,0,0,8,0,10,0,1,0,6,3,0
Switzerland,0,0,0,1,0,4,0,12,7,0,2,8,3,10,0,5,6,0,0
The Netherlands,0,8,0,3,0,12,5,7,0,0,0,6,2,10,0,0,1,4,0
Turkey,0,5,0,2,6,0,0,10,7,4,0,0,12,3,0,0,0,1,8
United Kingdom,0,0,0,12,0,6,2,8,0,0,0,0,4,7,10,1,5,0,3
Yugoslavia,0,0,12,6,3,0,0,0,0,8,0,7,2,4,0,5,10,1,0
