From country,Austria,Belgium,Cyprus,Denmark,Finland,Germany,Ireland,Israel,Luxembourg,Norway,Portugal,Spain,Sweden,Switzerland,The Netherlands,Turkey,United Kingdom,Yugoslavia
Austria,0,4,5,0,0,1,0,7,2,6,0,0,8,10,0,3,12,0
Belgium,6,0,3,0,0,10,0,7,8,2,0,4,5,12,0,0,0,1
Cyprus,7,8,0,0,0,12,5,2,0,4,0,10,0,6,0,0,3,1
Denmark,6,10,0,0,0,12,5,1,4,0,0,0,8,7,0,0,2,3
Finland,0,5,8,0,0,10,0,12,7,0,2,6,3,0,0,1,4,0
Germany,0,4,6,0,0,0,3,12,8,10,0,7,2,0,5,0,1,0
Ireland,5,4,0,1,0,12,0,0,10,6,2,0,3,8,0,0,7,0
Israel,4,6,7,0,0,12,3,0,5,0,1,8,0,10,0,0,2,0
Luxembourg,0,5,4,0,0,0,0,10,0,6,7,1,3,2,0,8,12,0
Norway,0,5,12,0,0,10,2,1,7,0,0,0,8,4,0,3,6,0
Portugal,0,8,5,3,0,12,1,10,6,0,0,0,7,2,0,0,4,0
Spain,8,10,7,0,0,12,3,6,5,2,0,0,4,0,0,0,1,0
Sweden,0,7,0,1,0,8,5,10,0,4,6,0,0,2,3,0,0,12
Switzerland,0,2,8,0,0,12,6,10,0,0,1,7,4,0,0,3,5,0
The Netherlands,0,3,12,0,0,6,0,8,7,0,4,0,5,10,0,2,1,0
Turkey,7,6,0,0,0,12,1,0,3,0,5,8,0,2,0,0,10,4
United Kingdom,10,2,3,0,0,8,7,1,6,0,4,0,5,12,0,0,0,0
Yugoslavia,4,7,5,0,0,12,8,3,0,0,0,1,2,10,0,0,6,0
