From country,Belgium,Croatia,Cyprus,Estonia,F.Y.R. Macedonia,Finland,France,Germany,Greece,Hungary,Ireland,Israel,Malta,Norway,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden,Switzerland,The Netherlands,Turkey,United Kingdom
Belgium,0,5,2,0,0,0,0,7,0,0,0,10,8,4,0,1,0,0,0,3,0,0,12,0,6
Croatia,0,0,4,0,6,0,0,0,0,0,2,0,7,0,0,0,0,8,3,1,0,0,10,5,12
Cyprus,6,7,0,0,0,0,1,0,12,0,0,10,5,3,0,2,0,0,0,4,0,0,0,0,8
Estonia,6,3,0,0,0,10,0,1,0,0,2,7,5,4,0,0,0,0,0,0,12,0,0,0,8
F.Y.R. Macedonia,6,12,0,0,0,1,2,0,0,0,7,8,0,0,0,4,0,0,0,0,0,0,3,5,10
Finland,0,3,0,12,0,0,0,1,0,0,0,10,5,2,0,0,0,0,4,0,6,0,7,0,8
France,7,8,0,0,0,0,0,0,0,1,0,12,6,0,2,10,0,0,0,4,0,0,5,0,3
Germany,4,10,0,0,0,0,0,0,0,0,2,7,8,3,5,0,0,0,0,0,0,0,6,12,1
Greece,4,5,12,0,0,0,0,3,0,0,0,10,6,0,0,1,0,0,2,0,0,0,8,0,7
Hungary,3,0,1,4,0,0,0,0,0,0,6,0,7,5,2,0,0,0,0,0,8,0,12,0,10
Ireland,7,3,0,1,0,0,0,8,0,0,0,6,12,4,0,0,0,0,0,0,2,0,10,0,5
Israel,5,10,1,0,0,0,0,0,0,0,0,0,7,4,0,2,6,0,0,3,0,0,8,0,12
Malta,3,10,1,0,0,0,0,0,0,0,6,12,0,5,0,2,0,0,0,0,4,0,7,0,8
Norway,7,6,0,0,0,1,0,0,0,2,4,3,12,0,0,0,0,0,0,0,10,0,8,0,5
Poland,12,6,0,1,0,0,0,0,0,0,2,10,8,4,0,0,0,0,0,0,3,0,5,0,7
Portugal,8,2,4,0,0,0,0,10,0,0,1,12,5,3,0,0,0,0,0,0,0,0,7,0,6
Romania,0,0,4,0,3,0,0,6,0,1,8,7,0,0,10,0,0,0,5,0,0,0,0,2,12
Slovakia,7,10,5,8,3,0,0,0,0,0,4,0,12,0,0,2,0,0,0,0,0,0,6,0,1
Slovenia,6,12,0,2,4,0,0,8,0,0,1,7,3,10,0,0,0,0,0,0,0,0,0,0,5
Spain,7,1,0,2,0,0,0,12,0,0,0,10,5,8,0,6,0,0,0,0,0,0,4,0,3
Sweden,2,3,0,4,0,10,0,0,0,0,1,5,6,12,0,0,0,0,0,0,0,0,8,0,7
Switzerland,4,5,0,0,0,0,0,12,0,0,2,10,8,1,0,0,0,0,0,6,0,0,7,0,3
The Netherlands,10,4,0,2,0,0,0,12,0,0,0,6,8,3,0,0,0,0,0,0,5,0,0,1,7
Turkey,1,4,0,0,0,0,0,0,0,0,8,5,10,0,0,6,0,0,3,0,2,0,7,0,12
United Kingdom,7,2,3,0,0,0,0,6,0,0,8,5,12,4,0,0,0,0,0,0,1,0,10,0,0
