From country,Austria,Belgium,Cyprus,Denmark,Finland,France,Germany,Greece,Iceland,Ireland,Israel,Italy,Luxembourg,Malta,Norway,Portugal,Spain,Sweden,Switzerland,Turkey,United Kingdom,Yugoslavia
Austria,0,3,0,0,0,12,0,2,0,1,0,0,5,4,0,0,7,10,8,0,6,0
Belgium,0,0,0,0,0,7,0,1,0,5,8,0,2,4,0,0,6,10,12,0,3,0
Cyprus,0,0,0,0,0,7,3,10,0,0,5,0,2,0,0,4,12,6,8,0,1,0
Denmark,0,0,0,0,0,0,6,0,0,7,10,0,4,0,2,1,0,12,5,8,3,0
Finland,0,3,0,0,0,10,0,1,0,2,6,12,0,0,0,7,4,8,5,0,0,0
France,0,5,12,0,0,0,0,0,0,0,3,8,0,2,0,10,6,0,4,7,1,0
Germany,0,0,1,0,0,8,0,0,5,2,0,0,3,10,4,0,7,12,6,0,0,0
Greece,0,0,12,0,1,8,0,0,0,0,5,6,0,2,0,4,10,0,7,0,3,0
Iceland,0,0,3,0,1,7,0,0,0,0,10,0,4,0,6,8,2,12,5,0,0,0
Ireland,0,0,5,0,4,7,0,1,0,0,8,10,0,12,0,0,6,3,2,0,0,0
Israel,0,0,6,0,0,12,0,4,0,1,0,3,0,0,0,0,2,10,8,7,5,0
Italy,0,5,0,0,0,12,0,2,7,3,0,0,0,10,0,1,0,0,4,8,6,0
Luxembourg,0,0,4,0,0,0,0,0,0,8,5,0,0,10,1,2,6,7,12,0,3,0
Malta,0,0,12,0,0,3,0,5,0,4,8,2,0,0,0,0,6,0,0,7,10,1
Norway,0,0,0,5,0,12,0,1,0,0,7,10,0,6,0,2,4,8,3,0,0,0
Portugal,0,0,3,0,0,5,0,0,0,0,4,12,2,7,0,0,8,10,6,0,1,0
Spain,0,3,0,0,0,8,1,5,0,0,12,7,0,6,0,10,0,4,0,2,0,0
Sweden,0,2,0,3,0,5,0,0,10,0,6,0,1,12,0,7,4,0,8,0,0,0
Switzerland,0,0,0,0,0,7,0,0,4,3,8,2,0,6,0,1,12,10,0,0,5,0
Turkey,0,0,0,0,0,0,0,0,0,4,12,10,3,7,1,5,8,6,2,0,0,0
United Kingdom,0,2,0,0,0,6,0,0,0,4,10,0,3,7,0,0,1,12,8,5,0,0
Yugoslavia,0,0,2,0,0,10,0,4,0,3,12,7,0,1,0,0,8,6,5,0,0,0
