From country,Armenia,Bosnia & Herzegovina,Croatia,Denmark,F.Y.R. Macedonia,Finland,France,Germany,Greece,Ireland,Israel,Latvia,Lithuania,Malta,Moldova,Norway,Romania,Russia,Spain,Sweden,Switzerland,Turkey,Ukraine,United Kingdom
Albania,0,12,0,0,3,0,0,5,8,0,0,0,0,1,0,0,2,4,6,10,0,7,0,0
Andorra,0,0,0,0,0,10,0,0,1,4,0,0,7,0,0,0,3,6,12,8,0,0,5,2
Armenia,0,5,0,0,7,0,2,0,8,3,0,0,0,0,0,1,4,12,0,6,0,0,10,0
Belarus,8,4,0,0,0,7,0,0,2,0,0,0,6,0,0,1,3,12,0,5,0,0,10,0
Belgium,12,6,0,0,0,8,0,1,10,0,0,0,4,0,0,0,2,3,0,5,0,7,0,0
Bosnia & Herzegovina,0,0,12,0,8,7,0,0,1,0,0,0,0,0,0,0,2,6,0,3,4,10,5,0
Bulgaria,8,7,0,0,6,5,0,0,12,0,0,0,1,0,0,0,2,10,0,0,0,4,3,0
Croatia,0,12,0,0,8,10,0,0,0,2,0,0,6,0,0,0,5,7,0,3,0,0,4,1
Cyprus,7,2,0,0,0,5,0,0,12,0,0,0,4,0,0,0,10,8,0,0,3,0,6,1
Denmark,0,8,0,0,0,12,0,3,0,5,0,0,7,0,0,1,6,2,0,10,0,0,0,4
Estonia,0,0,0,1,0,12,0,0,0,6,0,3,8,0,0,0,4,10,0,7,0,0,5,2
F.Y.R. Macedonia,0,12,10,0,0,6,0,0,7,0,0,0,3,0,0,0,2,8,0,1,0,4,5,0
Finland,0,10,0,3,0,0,0,0,1,4,0,0,8,0,0,5,6,12,0,7,0,0,2,0
France,10,6,0,0,0,8,0,0,5,1,4,0,0,0,0,0,7,2,0,3,0,12,0,0
Germany,3,7,2,0,0,10,0,0,8,4,0,0,1,0,0,0,5,6,0,0,0,12,0,0
Greece,10,6,0,0,0,12,0,0,0,0,0,0,4,0,1,2,7,8,0,0,0,3,5,0
Iceland,0,3,0,8,0,12,0,0,0,1,0,0,10,0,0,4,2,5,0,7,0,0,6,0
Ireland,0,2,0,0,0,10,0,3,0,0,0,4,12,0,0,0,6,5,0,7,0,0,1,8
Israel,8,2,0,0,0,7,0,0,0,0,0,0,3,0,0,0,10,12,0,5,4,1,6,0
Latvia,0,0,0,0,0,8,0,3,0,4,0,0,10,0,0,6,2,12,0,7,0,0,5,1
Lithuania,2,4,0,0,0,10,0,0,3,6,0,8,0,0,0,0,1,12,0,5,0,0,7,0
Malta,0,0,0,0,0,7,0,0,8,4,0,0,1,0,0,0,10,5,0,6,12,0,2,3
Moldova,7,5,0,0,0,6,0,0,1,0,0,0,4,0,0,3,12,10,0,2,0,0,8,0
Monaco,0,12,4,0,0,0,3,0,0,10,0,8,7,0,0,1,0,0,0,5,6,0,2,0
Norway,0,8,0,6,0,12,0,1,0,7,0,0,5,0,0,0,4,3,0,10,0,0,0,2
Poland,5,4,0,0,0,12,0,0,0,2,0,0,8,0,0,0,3,10,0,7,0,0,6,1
Portugal,0,2,0,0,0,6,0,0,0,5,0,0,4,0,3,0,10,7,0,8,1,0,12,0
Romania,1,7,0,0,0,4,0,0,10,2,0,0,0,0,12,0,0,8,0,5,0,6,3,0
Russia,12,6,0,0,0,8,0,0,0,0,0,1,5,0,3,7,4,0,0,2,0,0,10,0
Serbia & Montenegro,0,12,10,0,8,7,0,0,6,0,0,0,3,0,0,0,4,5,0,1,0,0,2,0
Slovenia,0,12,10,0,6,8,0,0,0,1,0,0,3,0,0,0,5,4,0,7,0,0,2,0
Spain,8,1,0,0,0,10,0,5,0,0,0,0,4,0,2,0,12,7,0,6,0,0,3,0
Sweden,0,10,0,8,0,12,0,0,4,5,0,0,3,0,0,2,6,7,0,0,0,0,1,0
Switzerland,0,12,6,0,4,8,0,7,5,3,0,0,0,0,0,0,1,0,0,2,0,10,0,0
The Netherlands,10,8,0,0,0,7,0,3,5,4,0,0,6,0,0,0,0,2,0,0,0,12,1,0
Turkey,10,12,2,0,6,7,0,0,4,0,0,0,0,0,1,0,3,5,0,0,0,0,8,0
Ukraine,8,10,0,0,0,7,0,0,0,2,0,4,5,0,0,3,1,12,0,6,0,0,0,0
United Kingdom,0,0,0,0,0,12,0,5,7,8,0,2,10,0,0,0,6,1,0,4,0,3,0,0
