From country,Belgium,France,Germany,Ireland,Italy,Luxembourg,Monaco,Spain,Switzerland,The Netherlands,United Kingdom,Yugoslavia
Belgium,0,0,0,9,0,0,1,0,0,0,0,0
France,3,0,0,1,0,0,2,0,2,0,2,0
Germany,0,0,0,2,2,0,0,0,2,0,4,0
Ireland,1,3,2,0,0,0,0,0,1,0,3,0
Italy,0,1,1,0,0,0,0,3,0,3,2,0
Luxembourg,1,0,3,2,0,0,0,2,0,0,2,0
Monaco,0,2,1,0,0,0,0,3,0,0,4,0
Spain,0,0,4,3,2,0,1,0,0,0,0,0
Switzerland,0,0,1,6,0,0,1,0,0,0,2,0
The Netherlands,0,0,0,5,0,0,0,0,2,0,3,0
United Kingdom,0,0,0,4,0,0,0,0,1,1,0,4
Yugoslavia,0,2,0,0,1,0,0,0,0,3,4,0
