From country,Austria,Belgium,Denmark,Finland,France,Germany,Ireland,Italy,Luxembourg,Monaco,Norway,Portugal,Spain,Sweden,Switzerland,The Netherlands,United Kingdom,Yugoslavia
Austria,0,0,0,0,0,0,0,0,1,0,3,0,0,0,5,0,0,0
Belgium,5,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0
Denmark,0,0,0,3,0,0,0,0,0,0,0,1,0,5,0,0,0,0
Finland,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1
France,3,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0
Germany,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,5,0
Italy,3,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0
Luxembourg,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0
Monaco,5,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0
Norway,0,0,1,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0
Portugal,1,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
Spain,1,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0
Sweden,0,1,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0
Switzerland,3,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0
The Netherlands,0,5,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,5
Yugoslavia,5,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0
