Total score,Albania,Australia,Austria,Bulgaria,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Germany,Hungary,Ireland,Israel,Italy,Lithuania,Moldova,Norway,Portugal,Serbia,Slovenia,Spain,Sweden,The Netherlands,Ukraine ,United Kingdom
Albania,0,0,0,8,10,1,0,0,0,7,6,0,0,5,12,0,2,0,0,3,0,0,4,0,0,0
Armenia,0,2,1,0,7,6,0,0,0,4,5,0,0,8,0,0,10,0,0,0,0,0,12,3,0,0
Australia,0,0,5,0,0,1,0,8,0,0,10,0,4,6,0,3,2,0,0,0,0,7,12,0,0,0
Austria,7,0,0,6,0,3,0,2,0,0,10,0,4,12,0,0,0,0,0,0,5,0,8,1,0,0
Azerbaijan,12,0,0,5,4,0,0,3,0,0,2,8,0,1,0,0,7,0,0,10,0,0,0,0,6,0
Belarus,7,2,10,0,12,6,3,0,0,0,0,0,0,0,0,5,0,8,0,0,4,0,1,0,0,0
Belgium,2,0,12,0,4,7,0,0,0,3,5,0,0,6,0,0,0,0,0,0,0,1,8,10,0,0
Bulgaria,7,0,12,0,3,8,0,0,0,5,6,0,1,4,0,10,0,0,0,0,0,0,2,0,0,0
Croatia,1,0,0,7,0,4,0,0,0,6,0,0,3,10,0,12,8,5,0,0,0,0,0,0,0,2
Cyprus,6,0,2,0,0,5,0,1,0,3,0,4,0,0,8,0,10,0,0,0,0,7,12,0,0,0
Czech Republic,6,0,5,4,0,0,0,0,3,0,0,2,10,12,0,1,0,0,0,0,7,0,8,0,0,0
Denmark,0,10,8,1,5,0,0,7,0,2,12,0,0,3,0,0,0,0,0,0,0,6,4,0,0,0
Estonia,0,0,12,7,8,0,0,0,2,0,6,0,0,0,0,10,0,4,3,0,0,0,5,1,0,0
F.Y.R. Macedonia,6,0,0,0,10,4,0,12,5,0,3,0,0,1,0,0,0,0,0,8,2,0,7,0,0,0
Finland,0,0,7,10,6,0,3,0,0,5,1,0,2,12,4,0,0,0,0,0,0,0,8,0,0,0
France,0,10,7,0,0,4,0,0,0,0,8,0,1,12,0,0,0,0,0,0,2,0,5,6,0,3
Georgia,4,0,8,6,0,0,1,10,0,0,7,0,0,3,0,2,0,0,0,0,0,0,12,5,0,0
Germany,0,7,10,0,3,0,0,2,0,0,0,0,8,1,0,4,0,0,0,0,0,6,12,5,0,0
Greece,7,0,0,0,12,0,0,3,0,5,0,6,0,4,1,0,10,0,0,2,0,0,8,0,0,0
Hungary,10,7,8,0,0,0,12,0,0,0,0,0,3,6,0,5,0,2,0,0,0,0,1,4,0,0
Iceland,10,0,12,0,2,1,0,7,0,3,6,0,4,8,0,0,0,0,0,0,0,0,5,0,0,0
Ireland,2,0,5,10,12,0,0,3,0,4,8,0,0,7,0,0,0,0,6,0,0,1,0,0,0,0
Israel,0,7,12,1,0,0,2,0,6,0,5,3,0,0,0,0,0,0,0,0,4,0,10,0,0,8
Italy,0,0,7,0,3,0,8,4,0,0,10,0,5,2,0,0,0,12,0,0,0,0,1,0,0,6
Latvia,0,6,7,0,0,0,0,8,0,10,3,0,0,0,0,4,0,0,0,0,1,0,12,5,0,2
Lithuania,0,0,12,0,1,0,0,0,0,10,5,2,4,6,0,0,0,0,7,0,0,0,8,3,0,0
Malta,0,3,1,2,12,5,0,0,0,8,0,0,0,6,10,0,0,4,0,0,0,0,7,0,0,0
Moldova,0,7,3,8,6,0,0,12,0,0,4,0,0,10,0,0,0,2,0,0,0,0,0,1,5,0
Montenegro,10,0,0,0,1,0,6,5,0,0,0,0,0,0,4,0,8,7,0,12,0,0,0,3,0,2
Norway,0,6,8,0,5,0,0,0,0,7,12,0,1,0,0,3,0,0,0,0,0,2,10,4,0,0
Poland,7,4,12,2,0,0,0,0,0,0,10,3,5,0,0,1,0,0,0,0,0,0,6,8,0,0
Portugal,10,0,8,7,0,0,0,12,0,5,0,0,0,1,4,6,0,0,0,0,3,2,0,0,0,0
Romania,0,2,12,0,5,0,0,3,0,0,4,0,0,0,0,6,7,0,0,0,1,10,0,8,0,0
Russia,0,5,0,0,7,0,0,6,0,2,4,0,0,8,1,3,12,0,0,0,0,0,10,0,0,0
San Marino,0,2,0,0,0,0,0,5,0,0,10,0,1,12,4,0,7,0,0,3,6,0,8,0,0,0
Serbia,1,0,4,0,0,0,0,3,0,0,10,0,0,2,8,0,5,6,0,0,0,0,12,7,0,0
Slovenia,4,0,10,0,8,3,0,5,0,2,0,0,0,1,0,0,6,0,0,0,0,0,12,7,0,0
Spain,0,0,8,0,12,4,0,1,0,6,7,0,5,10,3,0,0,0,0,0,0,0,2,0,0,0
Sweden,0,8,10,6,12,0,0,0,3,5,1,0,4,7,0,0,0,2,0,0,0,0,0,0,0,0
Switzerland,0,0,4,2,7,0,0,10,0,0,12,0,6,1,0,8,0,0,3,0,0,0,5,0,0,0
The Netherlands,0,0,10,0,6,0,0,4,0,0,12,0,0,5,0,7,0,3,2,0,1,0,8,0,0,0
Ukraine,0,2,7,0,0,4,3,1,0,12,0,0,0,10,0,0,0,0,0,0,5,0,6,8,0,0
United Kingdom,7,0,12,8,0,0,0,6,4,0,0,0,3,10,0,0,0,5,0,0,0,1,2,0,0,0
