From country,Austria,Belgium,Cyprus,Denmark,Finland,France,Germany,Greece,Iceland,Ireland,Israel,Italy,Luxembourg,Norway,Portugal,Spain,Sweden,Switzerland,The Netherlands,Turkey,United Kingdom,Yugoslavia
Austria,0,3,0,7,0,0,10,0,0,12,1,6,0,4,0,0,0,0,2,0,5,8
Belgium,0,0,0,0,0,0,10,2,4,12,6,5,0,7,0,0,1,0,0,0,3,8
Cyprus,0,5,0,0,0,0,6,12,0,8,0,1,0,3,0,0,7,4,0,0,2,10
Denmark,0,0,10,0,0,0,12,6,0,5,0,0,0,3,0,0,7,1,2,0,4,8
Finland,0,3,6,8,0,0,10,0,0,12,7,4,0,5,0,0,0,0,2,0,1,0
France,0,0,5,8,0,0,6,7,0,1,10,0,0,4,0,0,3,0,12,0,0,2
Germany,0,4,3,0,1,5,0,0,10,6,8,12,0,7,2,0,0,0,0,0,0,0
Greece,7,0,12,8,1,4,0,0,6,0,0,0,0,0,5,10,0,0,3,0,0,2
Iceland,0,0,6,7,0,4,12,1,0,0,5,3,0,0,0,0,8,2,0,0,0,10
Ireland,0,0,8,4,0,10,7,0,0,0,5,12,0,2,0,0,0,0,6,0,3,1
Israel,0,2,0,6,0,0,8,0,0,4,0,3,0,0,0,0,12,1,5,0,10,7
Italy,1,6,0,2,0,5,4,8,0,12,0,0,0,7,0,0,3,0,10,0,0,0
Luxembourg,0,5,0,0,2,12,6,7,0,10,0,4,0,0,0,0,0,3,8,0,1,0
Norway,0,5,6,7,10,1,3,0,4,8,2,0,0,0,0,0,0,0,0,0,0,12
Portugal,0,0,0,1,4,0,5,0,0,8,10,12,2,0,0,0,7,0,0,0,3,6
Spain,0,7,0,0,2,0,1,0,4,10,0,12,0,3,8,0,0,0,5,0,0,6
Sweden,0,0,2,8,3,0,7,6,0,12,4,1,0,10,0,0,0,0,0,0,5,0
Switzerland,0,0,4,3,0,2,1,0,0,12,8,7,0,6,0,0,0,0,10,0,5,0
The Netherlands,0,0,2,6,8,1,10,5,0,12,3,0,0,4,0,0,0,7,0,0,0,0
Turkey,0,4,0,1,0,0,6,0,0,10,0,8,0,0,0,0,2,5,7,0,3,12
United Kingdom,0,8,6,7,0,0,10,5,0,12,4,1,2,0,0,0,0,0,3,0,0,0
Yugoslavia,0,4,10,0,1,0,7,5,0,6,0,12,0,0,0,0,0,3,8,0,2,0
