From country,Belgium,Finland,Germany,Greece,Ireland,Israel,Italy,Luxembourg,Monaco,Norway,Portugal,Spain,Sweden,Switzerland,The Netherlands,United Kingdom,Yugoslavia
Belgium,0,0,1,0,0,0,1,1,3,1,0,0,0,1,1,1,1
Finland,0,0,0,0,0,0,2,0,0,0,0,0,5,0,1,1,1
Germany,0,0,0,0,0,0,0,1,2,0,0,1,2,1,1,2,0
Greece,5,0,1,0,0,0,0,1,0,0,0,0,0,0,2,1,0
Ireland,0,1,0,0,0,1,1,3,1,0,0,0,1,0,1,1,0
Israel,0,2,0,0,1,0,1,2,1,0,0,0,2,0,1,0,0
Italy,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,3,2
Luxembourg,3,0,0,0,2,0,1,0,2,0,0,1,1,0,0,0,0
Monaco,0,0,0,0,1,0,4,1,0,1,0,3,0,0,0,0,0
Norway,2,0,0,0,2,0,0,0,1,0,0,2,2,0,1,0,0
Portugal,0,0,0,1,0,2,1,0,1,0,0,2,1,0,1,0,1
Spain,0,0,0,0,2,0,2,1,2,0,1,0,1,0,0,0,1
Sweden,0,0,0,2,2,1,0,0,1,1,0,0,0,0,3,0,0
Switzerland,0,0,1,0,0,0,0,0,1,0,2,0,5,0,0,1,0
The Netherlands,0,0,0,4,0,2,0,0,0,0,0,1,3,0,0,0,0
United Kingdom,0,1,0,0,1,2,5,0,0,0,0,0,0,1,0,0,0
Yugoslavia,0,0,0,0,0,0,0,2,0,0,0,0,1,0,3,4,0
