From country,Austria,Belgium,Denmark,France,Germany,Italy,Luxembourg,Monaco,Norway,Sweden,Switzerland,The Netherlands,United Kingdom
Austria,0,1,0,1,2,0,0,0,1,0,2,0,3
Belgium,1,0,0,3,2,1,0,0,1,0,0,1,1
Denmark,2,0,0,4,0,0,0,2,2,0,0,0,0
France,0,0,0,0,4,0,0,3,1,2,0,0,0
Germany,0,1,0,1,0,0,0,7,0,0,0,0,1
Italy,1,3,0,0,0,0,1,0,0,1,1,1,2
Luxembourg,0,0,1,1,0,1,0,1,0,0,1,0,5
Monaco,0,0,0,5,2,2,0,0,0,0,0,0,1
Norway,0,0,2,5,0,0,0,0,0,0,1,0,2
Sweden,0,4,0,4,1,0,0,0,0,0,0,0,1
Switzerland,0,0,0,1,0,0,0,1,4,0,0,0,4
The Netherlands,0,0,0,2,0,1,0,0,1,1,0,0,4
United Kingdom,2,0,1,5,0,0,0,1,1,0,0,0,0
